file name ----------------------------  GMUL  i-count  -- total time --   MIPS
perf.sim3.01                               9 1.18e+09  189.75s  3m09.75    6.2
perf.sim3.02                               9 1.18e+09  192.93s  3m12.93    6.1
perf.sim3.03                               9 1.18e+09  192.97s  3m12.97    6.1
perf.sim3.04                               9 1.18e+09  193.03s  3m13.03    6.1
perf.sim3.05                               9 1.18e+09  193.98s  3m13.98    6.1
perf.sim3.06                               8 1.05e+09  171.45s  2m51.45    6.1
perf.sim3.07                               9 1.18e+09  193.26s  3m13.26    6.1
perf.sim3.08                               8 1.05e+09  172.71s  2m52.71    6.1
perf.sim3.09                               8 1.05e+09  172.36s  2m52.36    6.1
perf.sim3.10                               9 1.18e+09  193.75s  3m13.75    6.1
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T544  MDR R,R                : 10   265.5   273.1   266.41  0.56%    3.27   1.59
T545  MD R,m                 : 10   354.0   364.1   358.95  0.42%    4.40   2.14
T546  DDR R,R                : 10   892.3   949.2   931.08  4.56%   11.42   5.55
T547  DD R,m                 : 10   988.2  1228.8   983.10  1.93%   12.05   5.86
T550  CDR R,R                : 10   107.5   117.8   107.60  2.34%    1.32   0.64
T551  CD R,m                 : 10   194.6   203.3   194.07  2.37%    2.38   1.16
T552  AWR R,R                : 10   116.1   122.9   112.05  0.49%    1.37   0.67
T553  HDR R,R                : 10   107.1   111.1   104.43  1.84%    1.28   0.62
T560  AXR R,R                : 10   241.2   271.4   250.96  1.77%    3.08   1.50
T561  MXR R,R                : 10   471.7   512.0   465.76  0.49%    5.71   2.78
T600  STCK m                 : 10   177.0   379.0   213.13 13.34%    2.61   1.27
T601  SPM R                  : 10    81.3    84.2    82.24  1.75%    1.01   0.49
T610  EX R,i (with TM)       : 10   265.3   280.9   266.23  3.85%    3.26   1.59
T611  EX R,i (with XI)       : 10   345.9   368.6   354.66  2.37%    4.35   2.11
T620  MVI;TS m (zero)        : 10   407.6   439.3   421.82  1.43%    5.17   2.51
T621  MVI;TS m (ones)        : 10   389.1   491.5   417.07 12.50%    5.11   2.49
T700  mix int RR basic       : 10   104.1   110.4   104.34  2.59%    1.28   0.62
T701  mix int RX             : 10   188.2   196.0   187.72  0.71%    2.30   1.12
T702  mix int RX (far)       : 10   187.2   199.5   188.21  1.92%    2.31   1.12
T703  mix int RR noopt       : 10   105.8   114.6   104.34  0.80%    1.28   0.62
T900  LR R,R (ig=1)          : 10   172.9   182.0    96.19  3.64%    1.18   0.57
T901  LR R,R (ig=2)          : 10   128.0   132.0    88.50  1.24%    1.09   0.53
T902  LR R,R (ig=3)          : 10   110.0   112.6    84.32  0.48%    1.03   0.50
T903  LR R,R (ig=4)          : 10   101.8   107.5    83.72  1.64%    1.03   0.50
T904  LR R,R (ig=5)          : 10    95.3   104.4    81.08  1.77%    0.99   0.48
T905  LR R,R (ig=6)          : 10    92.5    96.6    80.97  1.00%    0.99   0.48
T906  LR R,R (ig=7)          : 10    89.3    93.1    79.45  1.12%    0.97   0.47
T907  LR R,R (ig=8)          : 10    88.0    89.9    79.41  0.34%    0.97   0.47
T908  LR R,R (ig=9)          : 10    86.3    89.0    78.93  1.35%    0.97   0.47
T909  LR R,R (ig=10)         : 10    85.6    88.0    78.62  0.60%    0.96   0.47
T910  LR R,R (ig=12)         : 10    84.4    89.4    78.69  0.37%    0.96   0.47
T911  LR R,R (ig=18)         : 10    80.3    84.6    77.48  1.28%    0.95   0.46
T912  LR R,R (ig=25)         : 10    79.3    81.3    77.10  0.27%    0.95   0.46
T913  LR R,R (ig=36)         : 10    83.9    86.8    83.54  0.29%    1.02   0.50
T914  LR R,R (ig=50)         : 10    81.9    91.0    81.68  0.74%    1.00   0.49
T915  LR R,R (ig=72)         : 10    81.1    83.6    81.67  0.86%    1.00   0.49
T920  L R,m (ig=1)           : 10   242.7   260.9   171.41  1.97%    2.10   1.02
T921  L R,m (ig=2)           : 10   208.4   215.7   171.30  1.80%    2.10   1.02
T922  L R,m (ig=3)           : 10   191.1   196.5   167.00  0.93%    2.05   1.00
T923  L R,m (ig=4)           : 10   182.0   189.4   165.21  2.30%    2.03   0.98
T924  L R,m (ig=5)           : 10   180.2   184.8   163.91  0.00%    2.01   0.98
T925  L R,m (ig=6)           : 10   173.5   177.3   162.05  1.81%    1.99   0.97
T926  L R,m (ig=7)           : 10   170.0   187.6   162.03  1.07%    1.99   0.97
T927  L R,m (ig=8)           : 10   170.7   174.6   163.32  1.70%    2.00   0.97
T928  L R,m (ig=9)           : 10   168.3   173.9   161.42  0.00%    1.98   0.96
T929  L R,m (ig=10)          : 10   166.4   171.0   161.21  0.71%    1.98   0.96
T930  L R,m (ig=12)          : 10   164.6   169.8   160.84  0.74%    1.97   0.96
T931  L R,m (ig=18)          : 10   173.4   177.2   171.73  0.97%    2.11   1.02
T932  L R,m (ig=25)          : 10   168.8   175.5   168.95  2.21%    2.07   1.01
T933  L R,m (ig=36)          : 10   168.8   175.7   168.72  1.20%    2.07   1.01
T952  T700 1st  2            : 10   266.2   293.1   189.69  1.80%    2.33   1.13
T953  T700 1st  3            : 10   366.8   379.5   285.55  2.92%    3.50   1.70
T954  T700 1st  4            : 10   445.4   484.4   376.81  2.13%    4.62   2.25
T955  T700 1st  5            : 10   533.3   580.3   481.65  2.69%    5.91   2.87
T956  T700 1st  6            : 10   641.5   663.2   568.06  1.17%    6.97   3.39
T957  T700 1st  7            : 10   753.5   773.7   671.91  0.42%    8.24   4.00
T958  T700 1st  8            : 10   883.1   910.2   807.00  2.36%    9.89   4.81
T959  T700 1st  9            : 10   962.6   989.9   889.35  0.00%   10.90   5.30
T960  T700 1st 10            : 10  1060.6  1092.3   984.71  2.21%   12.07   5.87
T961  T700 1st 11            : 10  1148.3  1176.3  1092.11  0.50%   13.39   6.51
T962  T700 1st 12            : 10  1244.0  1304.7  1189.91  0.50%   14.59   7.09
