file name ----------------------------  GMUL  i-count  -- total time --   MIPS
perf.herc.01                              60 7.89e+09  276.36s  4m36.36   28.5
perf.herc.02                              60 7.89e+09  275.46s  4m35.46   28.6
perf.herc.03                              59 7.76e+09  266.29s  4m26.29   29.1
perf.herc.04                              16 2.10e+09   71.48s  1m11.48   29.4
perf.herc.05                              67 8.81e+09  270.39s  4m30.39   32.6
perf.herc.06                              68 8.94e+09  274.17s  4m34.17   32.6
perf.herc.07                              66 8.68e+09  267.91s  4m27.91   32.4
perf.herc.08                              68 8.94e+09  273.94s  4m33.94   32.6
perf.herc.09                              67 8.81e+09  268.45s  4m28.45   32.8
perf.herc.10                              68 8.94e+09  272.75s  4m32.75   32.8
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T273  CLC m,m (30c,ne)       : 10    44.3    54.7    44.15  2.14%    4.90   1.97
T274  CLC m,m (100c,eq)      : 10    66.1    79.0    66.19  9.48%    7.35   2.96
T275  CLC m,m (100c,ne)      : 10    44.3    50.3    43.88  5.80%    4.87   1.96
T276  CLC m,m (250c,eq)      : 10    90.8   107.1    90.96  3.35%   10.10   4.07
T277  CLC m,m (250c,ne)      : 10    44.5    50.8    43.91  5.47%    4.88   1.96
T280  4*LR;CLCL (100b,10b)   : 10   380.0   458.2   381.56  8.73%   42.37  17.05
T281  4*LR;CLCL (4kb,10b)    : 10   390.4   493.4   393.85  8.07%   43.73  17.60
T282  4*LR;CLCL (4kb,100b)   : 10  3032.3  4264.4  3060.81  8.28%  339.86 136.80
T283  4*LR;CLCL (4kb,250b)   : 10  7472.3  9160.2  7491.78  8.76%  831.86 334.83
T290  LR;CS R,R,m (eq,eq)    : 10    42.6    46.9    42.22  1.96%    4.69   1.89
T291  LR;CS R,R,m (eq,ne)    : 10    42.4    48.5    42.29  3.63%    4.70   1.89
T292  LR;CS R,R,m (ne)       : 10    45.4    56.7    45.06  5.27%    5.00   2.01
T295  LR;CDS R,R,m (eq,eq)   : 10    45.7    51.0    45.46  0.46%    5.05   2.03
T296  LR;CDS R,R,m (eq,ne)   : 10    45.5    58.1    45.19 12.25%    5.02   2.02
T297  LR;CDS R,R,m (ne)      : 10    49.6    54.6    49.31  1.97%    5.47   2.20
T300  BCR 0,0 (noop)         : 10    10.1    11.9    10.07  7.37%    1.12   0.45
T301  BNZ l (no br)          : 10     9.3    10.5     9.48  8.47%    1.05   0.42
T302  BNZ l (do br)          : 10    17.9    19.8    17.87  1.54%    1.98   0.80
T303  BNZ l (do br, far)     : 10    49.2    55.0    49.39  0.88%    5.48   2.21
T304  BR R                   : 10    16.5    18.7    14.90  0.97%    1.65   0.67
T305  BR R (far)             : 10    41.9    51.5    40.64  0.81%    4.51   1.82
T310  BCTR R,0               : 10    11.1    14.0    11.10  2.13%    1.23   0.50
T311  BCTR R,R               : 10    16.9    24.9    17.20 10.82%    1.91   0.77
T312  BCT R,l                : 10    18.3    24.8    18.41  3.43%    2.04   0.82
T315  BXLE R,R,l             : 10    21.8    24.5    21.38  1.19%    2.37   0.96
T320  BALR R,R; BR R         : 10    35.5    62.0    35.54  7.90%    3.95   1.59
T321  BALR R,R; BR R (far)   : 10   121.0   144.3   121.44  8.18%   13.48   5.43
T322  BAL R,l; BR R          : 10    36.2    43.6    36.11  1.68%    4.01   1.61
T323  BAL R,l; BR R (far)    : 10   101.0   116.5   101.20  0.86%   11.24   4.52
T330  L;BALR;SAV(14,12);RET  : 10   375.3   423.8   376.49  1.54%   41.80  16.83
T400  CVB R,m                : 10   121.1   147.9   122.20  9.59%   13.57   5.46
T401  CVD R,m                : 10   106.1   121.7   107.26  1.99%   11.91   4.79
T402  PACK m,m (5d)          : 10   122.3   151.1   122.59  3.55%   13.61   5.48
T403  PACK m,m (15d)         : 10   319.6   355.3   320.68  3.90%   35.61  14.33
T404  UNPK m,m (5d)          : 10   140.2   168.7   141.12  1.66%   15.67   6.31
T405  UNPK m,m (15d)         : 10   351.1   417.0   353.97  6.83%   39.30  15.82
T410  MVC;ED (10c)           : 10   557.3   656.6   562.96  1.41%   62.51  25.16
T411  MVC;ED (30c)           : 10  1530.0  1727.1  1559.40  6.89%  173.15  69.69
T415  MVC;EDMK (10c)         : 10   566.4   637.8   568.37  0.54%   63.11  25.40
T420  AP m,m (10d)           : 10   746.3   855.4   750.69  1.16%   83.35  33.55
T421  AP m,m (30d)           : 10   771.6   951.7   778.69  1.50%   86.46  34.80
T422  SP m,m (10d)           : 10   765.6   907.4   777.80  3.56%   86.36  34.76
T423  SP m,m (30d)           : 10   812.5   940.4   818.77  5.24%   90.91  36.59
T424  MP m,m (10d)           : 10   994.6  1145.3  1007.54  9.13%  111.87  45.03
T425  MP m,m (30d)           : 10  1016.5  1220.7  1021.14  1.32%  113.38  45.64
T426  MVC;DP m,m (10d)       : 10  1235.8  1411.2  1251.74  0.73%  138.99  55.94
T427  MVC;DP m,m (30d)       : 10  2742.3  3491.2  2777.27  1.94%  308.38 124.12
T430  CP m,m (10d)           : 10   521.8   870.5   529.07  6.07%   58.75  23.65
T431  CP m,m (30d)           : 10   498.9   576.3   506.75  4.87%   56.27  22.65
