s370_perf_ana  -raw

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
T193  ICM R,i,m (0111)       : 92    4000 100  1    1263.75  0.94%
T200  AR R,R                 : 92   14000 100  1     347.40  0.96%
T201  A R,m                  : 92   10000  50  1     473.78  0.99%
T202  AH R,m                 : 92   10000  50  1     508.85  0.91%
T203  ALR R,R                : 92   17000 100  1     288.40  0.90%
T204  AL R,m                 : 92   10000  50  1     526.67  0.76%
T205  SR R,R                 : 92   14000 100  1     393.00  0.71%
T206  S R,m                  : 92   10000  50  1     501.58  0.81%
T207  SH R,m                 : 92   10000  50  1     536.32  0.85%
T208  SLR R,R                : 92   17000 100  1     294.00  0.85%
T209  SL R,m                 : 92   10000  50  1     537.10  0.75%
T210  MR R,R                 : 92   30000  30  4     182.37  0.72%
T211  M R,m                  : 92   15000  30  4     308.20  0.91%
T212  MH R,m                 : 92   15000  30  4     310.56  0.96%
T215  XR R,R; DR R,R         : 92   14000  20  3     367.50  0.77%
T216  XR R,R; D R,m          : 92   11000  20  3     477.21  0.83%
T220  SLA R,1                : 92   24000  30  4     204.17  0.94%
T221  SLDA R,1               : 92   12000  60  5     459.06  0.91%
T222  SRA R,1                : 92   30000  30  4     164.13  0.99%
T223  SRDA R,1               : 92   12000  60  5     388.86  1.11%
T224  SRA R,30               : 92   30000  30  4     163.77  0.96%
T225  SRDA R,60              : 92   12000  60  5     388.77  1.06%
T230  XR R,R                 : 92   15000 100  1     326.65  0.81%
T231  X R,m                  : 92   10000  50  1     476.45  0.93%
T232  XI m,i                 : 92   10000  50  1     495.80  0.86%
T235  XC m,m (10c)           : 92    4500  50  1    1124.55  0.85%
T236  XC m,m (100c)          : 92    2500  20  1    2029.83  0.77%
T237  XC m,m (250c)          : 92    1000  20  1    4510.78  0.95%
T238  NR R,R                 : 92   13000 100  1     363.40  0.98%
T239  OR R,R                 : 92   14000 100  1     361.90  0.77%
T240  SLL R,1                : 92   35000  30  4     139.38  1.01%
T241  SLDL R,1               : 92   13000  60  5     360.12  0.87%
T242  SRL R,1                : 92   35000  30  4     144.12  0.74%
T243  SRDL R,1               : 92   13000  60  5     360.27  1.05%
T244  SLL R,30               : 92   35000  30  4     139.57  1.11%
T245  SLDL R,60              : 92   14000  60  5     359.55  0.89%
T250  TM m,i                 : 92   10000  50  1     447.95  0.74%
T252  TR m,m (10c)           : 92    3500  50  1     829.22  1.17%
T253  TR m,m (100c)          : 92    1600  20  1    1399.55  0.22%
T254  TR m,m (250c)          : 92     700  20  1    3031.64  0.47%
T255  TRT m,m (10c,zero)     : 92    1200  50  1    4212.45  0.57%
T256  TRT m,m (100c,zero)    : 92     300  20  1   15656.38  0.83%
T257  TRT m,m (250c,zero)    : 92     130  20  1   38737.35  0.42%
T258  TRT m,m (250c,10b)     : 92    2500  20  1    1875.86  0.84%
T259  TRT m,m (250c,100b)    : 92     300  20  1   15993.51  0.93%
T260  CR R,R                 : 92   17000 100  1     263.40  0.76%
T261  C R,m                  : 92   11000  50  1     441.90  0.70%
T262  CH R,m                 : 92   12000  50  1     464.83  0.91%
T263  CLR R,R                : 92   18000 100  1     257.70  0.97%
T264  CL R,m                 : 92   12000  50  1     393.90  1.03%
T265  CLI m,i                : 92   10000  50  1     496.45  0.72%
T266  CLM R,i,m              : 92    8000  50  1     622.00  0.89%
T270  CLC m,m (10c,eq)       : 92    7000  20  1     690.89  0.86%
T271  CLC m,m (10c,ne)       : 92    8000  20  1     606.97  0.93%
T272  CLC m,m (30c,eq)       : 92    5000  20  1     912.93  0.83%
T273  CLC m,m (30c,ne)       : 92    8000  20  1     608.01  0.71%
T274  CLC m,m (100c,eq)      : 92    2900  20  1    1679.55  0.68%
T275  CLC m,m (100c,ne)      : 92    8000  20  1     607.05  0.88%
T276  CLC m,m (250c,eq)      : 92    1500  20  1    3325.12  0.78%
T277  CLC m,m (250c,ne)      : 92    8000  20  1     607.17  0.74%
T280  4*LR;CLCL (100b,10b)   : 92    4500  10  1    1073.43  0.93%
T281  4*LR;CLCL (4kb,10b)    : 92    4500  10  1    1099.48  0.88%
T282  4*LR;CLCL (4kb,100b)   : 92     600  10  1    8795.15  0.94%
T283  4*LR;CLCL (4kb,250b)   : 92     220  10  1   21434.25  0.64%
T290  LR;CS R,R,m (eq,eq)    : 92    6000  20  1     784.90  0.63%
T291  LR;CS R,R,m (eq,ne)    : 92    6000  20  1     785.63  1.04%
T292  LR;CS R,R,m (ne)       : 92    1400  20  1    3542.06  0.80%
T295  LR;CDS R,R,m (eq,eq)   : 92    6000  20  1     836.07  0.91%
T296  LR;CDS R,R,m (eq,ne)   : 92    6000  20  1     836.85  0.87%
T297  LR;CDS R,R,m (ne)      : 92    1400  20  1    3578.61  0.97%
T300  BCR 0,0 (noop)         : 92   20000 100  1     256.20  0.87%
T301  BNZ l (no br)          : 92   22000 100  1     218.60  0.93%
T302  BNZ l (do br)          : 92   12000  60  1     436.80  0.76%
T303  BNZ l (do br, far)     : 92    6000  60  1     779.94  1.12%
T304  BR R                   : 92   70000  10  1      74.13  0.93%
T305  BR R (far)             : 92   45000  10  1     114.38  0.96%
T310  BCTR R,0               : 92   15000 100  1     362.40  0.69%
T311  BCTR R,R               : 92  700000   1  0       7.11  1.07%
T312  BCT R,l                : 92  600000   1  0       8.41  0.87%
T315  BXLE R,R,l             : 92    6000 100  6     873.70  0.89%
T320  BALR R,R; BR R         : 92    8000  50  1     672.90  1.01%
T321  BALR R,R; BR R (far)   : 92    2500  50  1    1994.32  0.88%
T322  BAL R,l; BR R          : 92    7000  50  1     773.35  1.06%
T323  BAL R,l; BR R (far)    : 92    3500  50  1    1352.50  0.84%
T324  BASR R,R; BR R         : 92    8000  50  1     681.67  0.77%
T325  BAS R,l; BR R          : 92    7000  50  1     770.83  0.87%
T330  L;BALR;SAV(14,12);RET  : 92    4500  10  1    1084.61  0.96%
T400  CVB R,m                : 92    2500  50  1    1952.10  0.77%
T401  CVD R,m                : 92    2500  50  1    1808.98  0.72%
T402  PACK m,m (5d)          : 92    6000  20  1     777.52  0.86%
T403  PACK m,m (15d)         : 92    2500  20  1    1929.36  0.89%
T404  UNPK m,m (5d)          : 92    6000  20  1     863.85  0.82%
T405  UNPK m,m (15d)         : 92    2500  20  1    2058.60  0.84%
T410  MVC;ED (10c)           : 92    3300  10  1    1501.25  0.79%
T411  MVC;ED (30c)           : 92    1200  10  1    4103.99  1.23%
T415  MVC;EDMK (10c)         : 92    3300  10  1    1527.64  0.79%
T420  AP m,m (10d)           : 92     700  30  7    6680.24  0.90%
T421  AP m,m (30d)           : 92     700  30  8    6542.56  0.86%
T422  SP m,m (10d)           : 92     700  30  7    6736.98  0.98%
T423  SP m,m (30d)           : 92     700  30  8    7033.32  1.17%
T424  MP m,m (10d)           : 92     900  20  7    5577.82  1.02%
T425  MP m,m (30d)           : 92     900  20  8    5577.59  0.89%
T426  MVC;DP m,m (10d)       : 92    1000  10  1    4612.39  0.89%
T427  MVC;DP m,m (30d)       : 92     500  10  1   10507.58  0.64%
T430  CP m,m (10d)           : 92    1000  30  1    4742.93  0.67%
T431  CP m,m (30d)           : 92    1000  30  1    4747.20  0.83%
T440  ZAP m,m (10d,10d)      : 92    1600  30  1    3024.12  0.73%
T441  ZAP m,m (30d,30d)      : 92    1600  30  1    3025.29  0.79%
T442  ZAP m,m (10d,30d)      : 92    1600  30  1    3033.06  0.77%
T443  ZAP m,m (30d,10d)      : 92    1600  30  1    3018.76  0.77%
T445  SRP m,i,i (30d,<<)     : 92    1600  25  8    3178.63  0.74%
T446  SRP m,i,i (30d,>>)     : 92    1000  25  8    4710.69  0.87%
T450  MVO m,m (10d)          : 92    5000  20  1    1005.25  0.80%
T451  MVO m,m (30d)          : 92    2000  20  1    2589.26  0.89%
T500  LER R,R                : 92   10000 100  1     561.45  0.85%
T501  LE R,m                 : 92   10000  50  1     467.92  1.03%
T502  LE R,m (unal)          : 92   10000  50  1     485.45  0.96%
T503  LTER R,R               : 92   10000 100  1     508.25  0.94%
T504  LCER R,R               : 92   10000 100  1     491.20  0.87%
T505  LNER R,R               : 92   10000 100  1     518.35  0.86%
T506  LPER R,R               : 92    9000 100  1     575.60  0.82%
T507  LRER R,R               : 92    8000 100  1     624.50  0.92%
T508  STE R,m                : 92   10000  50  1     464.18  0.85%
T509  STE R,m (unal)         : 92   10000  50  1     492.65  0.94%
T510  AER R,R                : 92    8000  50  1     735.35  0.86%
T511  AE R,m                 : 92    6000  50  1     986.48  0.73%
T512  SER R,R                : 92    8000  50  1     739.10  0.79%
T513  SE R,m                 : 92    6000  50  1    1005.40  0.88%
T514  MER R,R                : 92   10000  50  9     519.33  0.80%
T515  ME R,m                 : 92    6500  50  9     769.30  0.85%
T516  DER R,R                : 92    5000  50  9    1031.52  0.80%
T517  DE R,m                 : 92    4000  50  9    1264.05  0.86%
T520  CER R,R                : 92   10000  50  1     556.25  0.75%
T521  CE R,m                 : 92    6000  50  1     846.02  0.95%
T522  AUR R,R                : 92   10000  50  9     517.02  0.98%
T523  HER R,R                : 92   16000  50  9     329.73  0.86%
T530  LDR R,R                : 92    9000 100  1     577.45  0.92%
T531  LD R,m                 : 92   10000  50  1     506.40  0.91%
T532  LD R,m (unal)          : 92   10000  50  1     500.63  0.92%
T533  LTDR R,R               : 92   10000 100  1     524.85  0.76%
T534  LCDR R,R               : 92   10000 100  1     527.00  0.69%
T535  LNDR R,R               : 92   10000 100  1     552.50  0.87%
T536  LPDR R,R               : 92   10000 100  1     539.60  0.77%
T537  LRDR R,R               : 92    7000 100  1     745.10  0.80%
T538  STD R,m                : 92   10000  50  1     499.25  0.95%
T539  STD R,m (unal)         : 92   10000  50  1     498.55  0.87%
T540  ADR R,R                : 92    7000  50  1     778.85  0.88%
T541  AD R,m                 : 92    5500  50  1    1039.42  0.79%
T542  SDR R,R                : 92    7000  50  1     783.52  0.84%
T543  SD R,m                 : 92    5500  50  1    1056.00  0.71%
T544  MDR R,R                : 92    6000  50 10     835.98  0.96%
T545  MD R,m                 : 92    4500  50 10    1133.10  0.75%
T546  DDR R,R                : 92     700  50 10    7637.02  0.72%
T547  DD R,m                 : 92     700  50 10    7835.82  0.62%
T550  CDR R,R                : 92    8000  50  1     603.95  0.87%
T551  CD R,m                 : 92    6000  50  1     914.53  0.73%
T552  AWR R,R                : 92    8000  50 10     624.57  0.93%
