file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2018-04-29-07:57:47_J0161_PERF-ASM.prt   224 2.96e+10  283.67s  4m43.67  104.4
2018-04-29-08:02:39_J0162_PERF-ASM.prt   221 2.92e+10  288.31s  4m48.31  101.4
2018-04-29-08:07:21_J0163_PERF-ASM.prt   204 2.70e+10  276.96s  4m36.96   97.4
2018-04-29-08:11:52_J0164_PERF-ASM.prt   212 2.80e+10  267.78s  4m27.78  104.7
2018-04-29-08:16:50_J0165_PERF-ASM.prt   223 2.95e+10  293.73s  4m53.73  100.4
2018-04-29-08:21:09_J0166_PERF-ASM.prt   195 2.58e+10  254.69s  4m14.69  101.3
2018-04-29-08:26:01_J0167_PERF-ASM.prt   218 2.88e+10  287.84s  4m47.84  100.2
2018-04-29-08:30:45_J0168_PERF-ASM.prt   221 2.92e+10  279.95s  4m39.95  104.4
2018-04-29-08:35:27_J0169_PERF-ASM.prt   216 2.86e+10  278.57s  4m38.57  102.5
2018-04-29-08:39:49_J0170_PERF-ASM.prt   201 2.66e+10  257.41s  4m17.41  103.3
2018-04-29-08:45:07_J0171_PERF-ASM.prt   227 3.00e+10  314.54s  5m14.54   95.4
2018-04-29-08:49:55_J0172_PERF-ASM.prt   211 2.79e+10  283.17s  4m43.17   98.5
2018-04-29-08:54:28_J0173_PERF-ASM.prt   211 2.79e+10  269.72s  4m29.72  103.5
2018-04-29-08:59:45_J0174_PERF-ASM.prt   228 3.02e+10  312.87s  5m12.87   96.4
2018-04-29-09:04:29_J0175_PERF-ASM.prt   214 2.83e+10  279.71s  4m39.71  101.2
2018-04-29-09:08:54_J0176_PERF-ASM.prt   203 2.68e+10  260.20s  4m20.20  103.2
2018-04-29-09:13:48_J0177_PERF-ASM.prt   227 3.00e+10  290.16s  4m50.16  103.5
2018-04-29-09:18:54_J0178_PERF-ASM.prt   230 3.04e+10  302.07s  5m02.07  100.7
2018-04-29-09:23:22_J0179_PERF-ASM.prt   198 2.62e+10  263.97s  4m23.97   99.2
2018-04-29-09:27:42_J0180_PERF-ASM.prt   197 2.61e+10  256.04s  4m16.04  101.8
2018-04-29-09:32:36_J0181_PERF-ASM.prt   222 2.94e+10  290.26s  4m50.26  101.1
2018-04-29-09:37:32_J0182_PERF-ASM.prt   210 2.78e+10  291.20s  4m51.20   95.4
2018-04-29-09:42:18_J0183_PERF-ASM.prt   206 2.72e+10  281.66s  4m41.66   96.7
2018-04-29-09:47:13_J0184_PERF-ASM.prt   219 2.90e+10  290.79s  4m50.79   99.6
2018-04-29-09:51:53_J0185_PERF-ASM.prt   201 2.66e+10  275.89s  4m35.89   96.4
2018-04-29-09:56:06_J0186_PERF-ASM.prt   195 2.58e+10  249.32s  4m09.32  103.4
2018-04-29-10:00:58_J0187_PERF-ASM.prt   226 2.99e+10  287.53s  4m47.53  103.9
2018-04-29-10:05:56_J0188_PERF-ASM.prt   228 3.02e+10  294.37s  4m54.37  102.4
2018-04-29-10:10:27_J0189_PERF-ASM.prt   194 2.57e+10  266.32s  4m26.32   96.3
2018-04-29-10:15:10_J0190_PERF-ASM.prt   202 2.67e+10  278.80s  4m38.80   95.8
2018-04-29-10:19:54_J0191_PERF-ASM.prt   217 2.87e+10  280.82s  4m40.82  102.2
s370_perf version: s370_perf V0.9.7  rev 1003  2018-03-30

Tag   Comment                : nr     min     max      tpi   w50%    n-rr   n-rx
T291  LR;CS R,R,m (eq,ne)    : 31    39.5    46.9    40.96 10.70%   18.57   5.83
T292  LR;CS R,R,m (ne)       : 31   302.8   362.2   315.13  9.23%  142.88  44.89
T295  LR;CDS R,R,m (eq,eq)   : 31    40.7    48.3    42.31 10.58%   19.18   6.03
T296  LR;CDS R,R,m (eq,ne)   : 31    40.7    49.0    42.37 11.04%   19.21   6.04
T297  LR;CDS R,R,m (ne)      : 31   305.1   366.8   321.46 11.84%  145.75  45.79
T300  BCR 0,0 (noop)         : 31     2.6     3.1     2.59 10.63%    1.18   0.37
T301  BNZ l (no br)          : 31     2.3     2.8     2.35 11.32%    1.06   0.33
T302  BNZ l (do br)          : 31     7.4     8.9     7.67  8.05%    3.48   1.09
T303  BNZ l (do br, far)     : 31    13.4    16.1    14.21  9.61%    6.44   2.02
T304  BR R                   : 31     5.9     7.1     5.54  8.61%    2.51   0.79
T305  BR R (far)             : 31    10.7    13.0    10.70 10.77%    4.85   1.52
T310  BCTR R,0               : 31     3.1     3.7     3.18 10.52%    1.44   0.45
T311  BCTR R,R               : 31     6.6     8.2     6.94 10.57%    3.15   0.99
T312  BCT R,l                : 31     8.0     9.7     8.44  9.73%    3.83   1.20
T315  BXLE R,R,l             : 31     8.4    10.2     8.69  9.88%    3.94   1.24
T320  BALR R,R; BR R         : 31    13.0    15.4    13.85 10.60%    6.28   1.97
T321  BALR R,R; BR R (far)   : 31    27.1    33.2    28.39  9.64%   12.87   4.04
T322  BAL R,l; BR R          : 31    14.4    17.5    15.27  8.83%    6.92   2.18
T323  BAL R,l; BR R (far)    : 31    28.1    33.7    30.29  7.77%   13.73   4.31
T324  BASR R,R; BR R         : 31    13.0    15.6    13.67 10.47%    6.20   1.95
T325  BAS R,l; BR R          : 31    14.6    17.2    15.15  7.32%    6.87   2.16
T330  L;BALR;SAV(14,12);RET  : 31   102.2   122.7   107.90  7.06%   48.92  15.37
T400  CVB R,m                : 31    36.0    42.9    37.63  8.11%   17.06   5.36
T401  CVD R,m                : 31    28.3    34.0    29.59  9.15%   13.42   4.22
T402  PACK m,m (5d)          : 31    35.1    42.0    36.23  9.91%   16.43   5.16
T403  PACK m,m (15d)         : 31    86.1   101.6    89.50 10.46%   40.58  12.75
T404  UNPK m,m (5d)          : 31    39.0    45.9    40.46  8.00%   18.34   5.76
T405  UNPK m,m (15d)         : 31    95.1   114.2    99.09 10.01%   44.93  14.12
T410  MVC;ED (10c)           : 31   139.5   167.8   146.04  9.69%   66.22  20.80
T411  MVC;ED (30c)           : 31   380.5   457.8   400.47 11.90%  181.57  57.05
T415  MVC;EDMK (10c)         : 31   141.3   172.0   148.06 10.74%   67.13  21.09
T420  AP m,m (10d)           : 31   217.7   257.4   228.22  9.23%  103.48  32.51
T421  AP m,m (30d)           : 31   212.9   253.5   225.55  9.14%  102.27  32.13
T422  SP m,m (10d)           : 31   213.6   251.5   228.33 10.22%  103.53  32.53
T423  SP m,m (30d)           : 31   230.8   277.3   243.49 10.03%  110.40  34.69
T424  MP m,m (10d)           : 31   249.6   300.5   259.78  8.58%  117.79  37.01
T425  MP m,m (30d)           : 31   249.4   297.5   261.34 11.05%  118.49  37.23
T426  MVC;DP m,m (10d)       : 31   446.7   540.3   470.96  9.64%  213.53  67.09
T427  MVC;DP m,m (30d)       : 31  1059.3  1270.9  1107.37 10.60%  502.08 157.74
