s370_perf_sum  -rat  -k r2  -fmis 1

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-04-16_p390.dat                        326   0.28%     6.7%
      02: 2018-02-14_p390.dat                        231   0.14%    18.0%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T203  ALR R,R                :     57.16     57.35 :    1.003
T290  LR;CS R,R,m (eq,eq)    :    583.41    585.45 :    1.003
T260  CR R,R                 :     57.15     57.35 :    1.003
T257  TRT m,m (250c,zero)    :  36710.45  36843.45 :    1.004
T160  MVI m,i                :    159.98    160.57 :    1.004
T508  STE R,m                :    179.95    180.62 :    1.004
D290  CS R,R,m (eq,eq)       :    526.24    528.30 :    1.004
T239  OR R,R                 :     57.16     57.40 :    1.004
T230  XR R,R                 :     57.15     57.39 :    1.004
T440  ZAP m,m (10d,10d)      :   1808.72   1816.38 :    1.004
T281  4*LR;CLCL (4kb,10b)    :   1786.89   1794.62 :    1.004
T200  AR R,R                 :     57.16     57.42 :    1.005
T191  ICM R,i,m (0010)       :    289.82    291.14 :    1.005
D611  EX R,i (bare, via XI)  :    256.27    257.44 :    1.005
T424  MP m,m (10d)           :   5755.24   5783.53 :    1.005
D281  CLCL (4kb,10b)         :   1558.21   1566.02 :    1.005
T420  AP m,m (10d)           :   2518.50   2539.39 :    1.008
T425  MP m,m (30d)           :   5994.21   6054.28 :    1.010
T421  AP m,m (30d)           :   2895.23   2924.40 :    1.010
T445  SRP m,i,i (30d,<<)     :   2841.32   2874.80 :    1.012
T600  STCK m                 :    412.05    417.30 :    1.013
T446  SRP m,i,i (30d,>>)     :   3243.82   3292.69 :    1.015
T302  BNZ l (do br)          :    234.27    240.50 :    1.027
T303  BNZ l (do br, far)     :    233.89    240.56 :    1.029
